134_JUDD\0.7\134_JUDD_Main.mas  Tyre name: Name="Avon"
1975BRABHAM\1.0\Brabham_MAIN_HE.mas  Tyre name: Name="Goodyear slick 1975"
1975BRABHAM\1.0\Brabham_MAIN_HE.mas  Tyre name: Name="Goodyear rain 1975"
1975BRM\1.0\BRM_Main_HE.mas  Tyre name: Name="Goodyear slick 1975"
1975BRM\1.0\BRM_Main_HE.mas  Tyre name: Name="Goodyear rain 1975"
1975COPERSUCAR\1.0\COPER_MAIN.mas  Tyre name: Name="Goodyear slick 1975"
1975COPERSUCAR\1.0\COPER_MAIN.mas  Tyre name: Name="Goodyear rain 1975"
1975EMBASSY\1.0\Embassy_HE_MAIN.mas  Tyre name: Name="Goodyear slick 1975"
1975EMBASSY\1.0\Embassy_HE_MAIN.mas  Tyre name: Name="Goodyear rain 1975"
1975FERRARI\1.0\FERRARI_HE_MAIN.mas  Tyre name: Name="Goodyear slick 1975"
1975FERRARI\1.0\FERRARI_HE_MAIN.mas  Tyre name: Name="Goodyear rain 1975"
1975FERRARI\1.0\FERRARI_HE_MAIN.mas  Tyre name: Name="Goodyear slick 1975"
1975FERRARI\1.0\FERRARI_HE_MAIN.mas  Tyre name: Name="Goodyear rain 1975"
1975HESKETH\1.0\Hesketh_HE_MAIN.mas  Tyre name: Name="Goodyear slick 1975"
1975HESKETH\1.0\Hesketh_HE_MAIN.mas  Tyre name: Name="Goodyear rain 1975"
1975HESKETH\1.0\Hesketh_HE_MAIN.mas  Tyre name: Name="Goodyear slick 1975"
1975HESKETH\1.0\Hesketh_HE_MAIN.mas  Tyre name: Name="Goodyear rain 1975"
1975LOTUS\1.0\LOTUS_HE_MAIN.mas  Tyre name: Name="Goodyear slick 1975"
1975LOTUS\1.0\LOTUS_HE_MAIN.mas  Tyre name: Name="Goodyear rain 1975"
1975MAKI\1.0\MAKI_HE_MAIN.mas  Tyre name: Name="Goodyear slick 1975"
1975MAKI\1.0\MAKI_HE_MAIN.mas  Tyre name: Name="Goodyear rain 1975"
1975MARCH\1.0\March_LE_MAIN.mas  Tyre name: Name="Goodyear slick 1975"
1975MARCH\1.0\March_LE_MAIN.mas  Tyre name: Name="Goodyear rain 1975"
1975MCLAREN\1.0\MCLAREN_HE_MAIN.mas  Tyre name: Name="Goodyear slick 1975"
1975MCLAREN\1.0\MCLAREN_HE_MAIN.mas  Tyre name: Name="Goodyear rain 1975"
1975PARNELLI\1.0\Parnelli_MAIN.mas  Tyre name: Name="Goodyear slick 1975"
1975PARNELLI\1.0\Parnelli_MAIN.mas  Tyre name: Name="Goodyear rain 1975"
1975PENSKE\1.0\PENSKE_HE_MAIN.mas  Tyre name: Name="Goodyear slick 1975"
1975PENSKE\1.0\PENSKE_HE_MAIN.mas  Tyre name: Name="Goodyear rain 1975"
1975SHADOW\1.0\Shadow_MAIN.mas  Tyre name: Name="Goodyear slick 1975"
1975SHADOW\1.0\Shadow_MAIN.mas  Tyre name: Name="Goodyear rain 1975"
1975SURTEES\1.0\Surtees_MAIN.mas  Tyre name: Name="Goodyear slick 1975"
1975SURTEES\1.0\Surtees_MAIN.mas  Tyre name: Name="Goodyear rain 1975"
1975TYRRELL\1.0\tyrrell_MAIN.mas  Tyre name: Name="Goodyear slick 1975"
1975TYRRELL\1.0\tyrrell_MAIN.mas  Tyre name: Name="Goodyear rain 1975"
1975TYRRELLP34\1.0\tyrrellp34_main_he.mas  Tyre name: Name="Goodyear slick 1975"
1975TYRRELLP34\1.0\tyrrellp34_main_he.mas  Tyre name: Name="Goodyear rain 1975"
1975WILLIAMS\1.0\williams_MAIN.mas  Tyre name: Name="Goodyear slick 1975"
1975WILLIAMS\1.0\williams_MAIN.mas  Tyre name: Name="Goodyear rain 1975"
1975WILLIAMS\1.0\williams_MAIN.mas  Tyre name: Name="Goodyear slick 1975"
1975WILLIAMS\1.0\williams_MAIN.mas  Tyre name: Name="Goodyear rain 1975"
1986_BT55\1.1\BT55_Main.mas  Tyre name: Name="Wet"
1986_BT55\1.1\BT55_Main.mas  Tyre name: Name="Qualifying tires"
1986_BT55\1.1\BT55_Main.mas  Tyre name: Name="Soft"
1986_BT55\1.1\BT55_Main.mas  Tyre name: Name="Medium"
1986_BT55\1.1\BT55_Main.mas  Tyre name: Name="Hard"
207s2000\1.45\207s2000_main.mas  Tyre name: Name="Goodrich Gravel"
207s2000\1.45\207s2000_main.mas  Tyre name: Name="Goodrich Soft"
207s2000\1.45\207s2000_main.mas  Tyre name: Name="Goodrich Hard"
207s2000\1.45\207s2000_main.mas  Tyre name: Name="Goodrich Rain"
ac_cobra_1954_endurance\1.240\427c_1954Endur_teams.mas  Tyre name: Name="Competition"//G 9.9-15
ac_cobra_1954_endurance\1.240\427c_1954Endur_teams.mas  Tyre name: Name="Street" //G 8.15-15
ac_cobra_1954_endurance\1.240\427c_1954Endur_teams.mas  Tyre name: Name="Street" //G 8.15-15
ac_cobra_1954_endurance\1.240\427c_1954Endur_teams.mas  Tyre name: Name="Street" //G 8.15-15
ac_cobra_1954_endurance\1.240\427c_1954Endur_teams.mas  Tyre name: Name="Street" //G 8.15-15
ac_cobra_1954_endurance\1.240\427c_1954Endur_teams.mas  Tyre name: Name="Street" //G 8.15-15
Alfa Romeo 33 tt 12\1.0\tt12main.mas  Tyre name: Name="Slick Soft"
Alfa Romeo 33 tt 12\1.0\tt12main.mas  Tyre name: Name="Slick Hard"
Alfa Romeo 33 tt 12\1.0\tt12main.mas  Tyre name: Name="Rain"
Alfa Romeo 33 tt 12\1.0\tt12_textures.mas  Tyre name: Name="Qualifying"
Alfa Romeo 33 tt 12\1.0\tt12_textures.mas  Tyre name: Name="Soft"
Alfa Romeo 33 tt 12\1.0\tt12_textures.mas  Tyre name: Name="Medium"
Alfa Romeo 33 tt 12\1.0\tt12_textures.mas  Tyre name: Name="Hard"
Alfa Romeo 33 tt 12\1.0\tt12_textures.mas  Tyre name: Name="Wet"
Alfa Romeo 33 tt 12\1.0\tt12_textures.mas  Tyre name: Name="Wet"
Alfa Romeo 33 tt 12\1.0\tt12_textures.mas  Tyre name: Name="Qualifying tires"
Alfa Romeo 33 tt 12\1.0\tt12_textures.mas  Tyre name: Name="Soft"
Alfa Romeo 33 tt 12\1.0\tt12_textures.mas  Tyre name: Name="Medium"
Alfa Romeo 33 tt 12\1.0\tt12_textures.mas  Tyre name: Name="Hard"
AM_FIAGT3_2012_799\1.05\am_gt3_799r_main.mas  Tyre name: Name="S7 - Soft"
AM_FIAGT3_2012_799\1.05\am_gt3_799r_main.mas  Tyre name: Name="S8 - Medium"
AM_FIAGT3_2012_799\1.05\am_gt3_799r_main.mas  Tyre name: Name="S9 - Hard"
AM_FIAGT3_2012_799\1.05\am_gt3_799r_main.mas  Tyre name: Name="P2 - Rain"
AM_FIAGT3_2012_854GT3\1.05\am_gt3_854_main.mas  Tyre name: Name="S7 - Soft"
AM_FIAGT3_2012_854GT3\1.05\am_gt3_854_main.mas  Tyre name: Name="S8 - Medium"
AM_FIAGT3_2012_854GT3\1.05\am_gt3_854_main.mas  Tyre name: Name="S9 - Hard"
AM_FIAGT3_2012_854GT3\1.05\am_gt3_854_main.mas  Tyre name: Name="P2 - Rain"
AM_FIAGT3_2012_CAMARO\1.05\am_gt3_camaro_main.mas  Tyre name: Name="S7 - Soft"
AM_FIAGT3_2012_CAMARO\1.05\am_gt3_camaro_main.mas  Tyre name: Name="S8 - Medium"
AM_FIAGT3_2012_CAMARO\1.05\am_gt3_camaro_main.mas  Tyre name: Name="S9 - Hard"
AM_FIAGT3_2012_CAMARO\1.05\am_gt3_camaro_main.mas  Tyre name: Name="P2 - Rain"
AM_FIAGT3_2012_MP412CGT3\1.05\am_gt3_mcgt3_main.MAS  Tyre name: Name="S7 - Soft"
AM_FIAGT3_2012_MP412CGT3\1.05\am_gt3_mcgt3_main.MAS  Tyre name: Name="S8 - Medium"
AM_FIAGT3_2012_MP412CGT3\1.05\am_gt3_mcgt3_main.MAS  Tyre name: Name="S9 - Hard"
AM_FIAGT3_2012_MP412CGT3\1.05\am_gt3_mcgt3_main.MAS  Tyre name: Name="P2 - Rain"
AM_FIAGT3_2012_SLSAMG\1.05\am_gt3_slsamg_main.mas  Tyre name: Name="S7 - Soft"
AM_FIAGT3_2012_SLSAMG\1.05\am_gt3_slsamg_main.mas  Tyre name: Name="S8 - Medium"
AM_FIAGT3_2012_SLSAMG\1.05\am_gt3_slsamg_main.mas  Tyre name: Name="S9 - Hard"
AM_FIAGT3_2012_SLSAMG\1.05\am_gt3_slsamg_main.mas  Tyre name: Name="P2 - Rain"
AM_FIAGT3_2012_Z06R\1.05\am_gt3_z06r_main.mas  Tyre name: Name="S7 - Soft"
AM_FIAGT3_2012_Z06R\1.05\am_gt3_z06r_main.mas  Tyre name: Name="S8 - Medium"
AM_FIAGT3_2012_Z06R\1.05\am_gt3_z06r_main.mas  Tyre name: Name="S9 - Hard"
AM_FIAGT3_2012_Z06R\1.05\am_gt3_z06r_main.mas  Tyre name: Name="P2 - Rain"
AM_FIAGT3_2012_Z4GT3\1.05\am_z4gt3_main.mas  Tyre name: Name="S7 - Soft"
AM_FIAGT3_2012_Z4GT3\1.05\am_z4gt3_main.mas  Tyre name: Name="S8 - Medium"
AM_FIAGT3_2012_Z4GT3\1.05\am_z4gt3_main.mas  Tyre name: Name="S9 - Hard"
AM_FIAGT3_2012_Z4GT3\1.05\am_z4gt3_main.mas  Tyre name: Name="P2 - Rain"
AM_FIAGT3_2015_bentleyGT3\1.05\AM_GT3_BENTLEY_MAIN.mas  Tyre name: Name="S7 - Soft"
AM_FIAGT3_2015_bentleyGT3\1.05\AM_GT3_BENTLEY_MAIN.mas  Tyre name: Name="S8 - Medium"
