1.wav,"okay, I'll give those calls"
10.wav,"okay, I'll give those calls"
11.wav,"all right, I'll give those calls for you"
12.wav,"you got it, man, I'll give you those calls"
13.wav,"sure thing, I'm calling"
14.wav,"okay, I'll spot"
15.wav,"sure, I'll spot"
16.wav,"okay, I'll spot"
17.wav,"yes, I'll spot"
18.wav,"okay, I'll spot"
19.wav,"you got it, buddy, I'm spotting"
2.wav,"you got it, I'm calling"
20.wav,"you got it, I'm spotting"
21.wav,"you got it, I'll spot"
22.wav,"spottin'"
23.wav,"yes, I'll spot"
24.wav,"yep, spotting"
25.wav,"I'm spotting"
26.wav,"I'll spot for ya"
27.wav,"okay, I'll spot"
28.wav,"okay, I'll spot"
3.wav,"okay, I'm calling"
4.wav,"all right, I'll give those calls"
5.wav,"you got it, I'm giving those calls"
6.wav,"you got it, I'm calling"
7.wav,"sure, I'll give those calls"
8.wav,"yeah, I'll give those calls"
9.wav,"sure, I'll give those calls"
