1_op_prefix_ok.wav,"you've had a bit of suspension damage, it's probably all right"
10.wav,"you got a little bit of suspension damage"
2_op_prefix_ok.wav,"you've had some suspension damage there, stay out"
3_op_prefix_ok.wav,"you've had a bit of suspension damage"
4.wav,"there's some minor suspension damage"
5.wav,"we're seeing some minor suspension damage"
6.wav,"you've got a little bit of suspension damage"
7.wav,"it looks like your suspension's a little bit off"
8.wav,"we're seeing a little bit of suspension damage"
9.wav,"you've got some minor suspension damage there"
