1_op_prefix_ok.wav,"come on, stay focused, apexes and exits, apexes and exits"
10.wav,"focus on the exits, we can go faster here"
11_op_prefix_ok.wav,"there'll be chances here, let's make sure we can take them"
12_op_prefix_ok.wav,"don't think about the lap times, just hit each and every apex"
13.wav,"come on, keep digging"
14.wav,"keep digging"
15.wav,"stay on it, keep digging"
16_male.wav,"come on, man, keep pushing"
17.wav,"nail every corner, let's take whatever chances we can"
18.wav,"stay calm, keep it smooth"
19.wav,"come on, head up, keep your focus further down the track"
2.wav,"we're looking all right here, keep your concentration, nice and smooth"
20.wav,"nice and smooth, don't overdrive the car"
21.wav,"hit all your apexes, wait for the chances to come, mate"
22.wav,"nice and smooth with that throttle, keep it balanced"
3.wav,"this is okay, keep those exit speeds up"
4.wav,"stay focused, we're still in this"
5.wav,"stay on it, this isn't over yet"
6.wav,"keep digging, this isn't over yet"
7_op_prefix_ok.wav,"keep it nice and smooth, come on, let the race come to us"
8.wav,"come on, let's put this hard work to good use"
9_op_prefix_ok.wav,"relax, focus, keep it smooth"
