1.wav,"the stewards have warned us for cutting the track, keep it between the white lines"
10.wav,"watch those track limits or we'll get a penalty"
11.wav,"the stewards have warned us about track limits, keep it between the lines"
12_op_prefix_oh_dear.wav,"come on, track limits"
13_op_prefix_oh_dear.wav,"track limits, come on"
14.wav,"keep it between the lines, track limits"
15.wav,"watch those track limits, we don't want a penalty"
16.wav,"we've been warned about track limits"
17.wav,"you've gone outside track limits, come on, keep it between the lines"
18.wav,"watch the track limits"
19.wav,"we've been warned about track limits"
2.wav,"keep it between the white lines or we'll get a penalty"
20.wav,"watch the track limits, we'll get a penalty if we don't"
21.wav,"keep it within the track limits"
22.wav,"the stewards have warned us about track limits"
23.wav,"watch those track limits"
3.wav,"we just had a warning for cutting the track"
4.wav,"watch those track limits"
5.wav,"track limits, come on, keep it between the white lines"
6_op_prefix_oh_dear.wav,"track limits, come on"
7.wav,"come on, track limits"
8.wav,"we've been warned about track limits"
9.wav,"come on, track limits, keep it between the lines"
