1.wav,"they'll invalidate this lap, track limits"
1_rq_suffix_please.wav,"mind these track limits"
10.wav,"track limits, this lap will be deleted"
12.wav,"this lap won't count, you cut the track"
2.wav,"track limits, this lap will be deleted"
2_op_prefix_ok.wav,"we need to watch the track limits"
20.wav,"track limits, this lap will be deleted"
21.wav,"they'll delete this lap, you've cut the track"
24.wav,"this lap will be invalidated, watch the track limits"
3.wav,"they'll delete this lap, track limits"
3_op_prefix_ok.wav,"we need to watch these track limits"
4.wav,"you're outside of track limits there"
4_rq_suffix_please.wav,"watch the track limits"
5.wav,"track limits, keep it between the lines"
6.wav,"track limits"
7.wav,"track limits, they'll invalidate this lap"
8.wav,"you've gone outside of track limits there"
