1.wav,"can you even see the track? stop cutting"
1_op_prefix_oh_dear.wav,"are you even trying to keep it on the track"
13_op_prefix_oh_dear.wav,"track limits, come on"
2_op_suffix_please.wav,"start respecting the track limits"
3.wav,"track limits again, come on"
3_op_suffix_please.wav,"pay some attention to the track limits"
4.wav,"that's another cut, come on, pay attention"
6_op_prefix_oh_dear.wav,"track limits, come on"
sweary_1.wav,"track fucking limits"
sweary_2.wav,"track limits, for fuck's sake, come on, track limits"
sweary_3.wav,"shit, I'm sick of saying this, track limits"
sweary_4.wav,"come on, track limits, they're there for a reason, stop taking the piss"
