1_op_prefix_ok.wav,"decent start, we can build something from here"
10.wav,"the start's okay, we're still in good shape here"
11.wav,"the start's all right, time to get stuck in"
12.wav,"okay, the start will do, time to get to work"
2.wav,"start's okay, let's get settled in"
3_op_suffix_come_on.wav,"the start's okay, let's get stuck in"
4.wav,"your start's okay, we can build something from this"
5_op_suffix_come_on.wav,"okay, let's find a good rhythm, make some places"
6.wav,"start's okay, we're still in this"
8.wav,"the start's all right, let's build on it"
9.wav,"the start's okay, now find your groove"
