1.wav,"good pass, well done"
12_op_suffix_well_done.wav,"come on, that's the stuff"
13.wav,"that's the stuff, we'll have some more of that"
14_op_suffix_come_on.wav,"brilliant, nice one"
15.wav,"good move, mate"
16.wav,"good move, mate"
17_op_suffix_well_done.wav,"nice pass"
18_op_prefix_come_on.wav,"nicely done"
19_male.wav,"well done, fella'"
2_op_suffix_well_done.wav,"nice one, mate"
21.wav,"good work, mate, keep it up"
22.wav,"sweet pass, mate"
23.wav,"have it, nice one"
24.wav,"good pass"
26.wav,"good pass, now keep pushing"
27.wav,"well done, mate, that was great"
29.wav,"awesome, well done"
3_op_prefix_well_done.wav,"great move, keep it up"
4_op_prefix_well_done.wav,"nice move, mate"
5_op_prefix_come_on.wav,"good stuff, keep it coming"
5_op_prefix_well_done.wav,"good pass, eyes front"
6.wav,"well done, good pass"
7.wav,"well done, eyes front now"
sweary_10.wav,"good pass, mate, that was fucking brilliant"
sweary_11.wav,"good pass, mate, fucking awesome"
sweary_20.wav,"yeah, nailed that fucker"
sweary_25.wav,"fan-fucking-tastic, now keep pushing"
sweary_28.wav,"fucking come on, you nailed him"
sweary_7.wav,"fucking great pass, mate, well done"
sweary_8.wav,"fucking awesome move, mate"
sweary_9.wav,"fucking excellent pass, nice one, mate"
