1.wav,"there's a car behind, take care rejoining"
11.wav,"there's a car approaching, stay behind the white line"
12.wav,"there's a car approaching, watch your mirrors, stay behind the white line"
13.wav,"there's a car approaching, don't cross the white line"
14.wav,"there's a car approaching, don't cross the white line, watch your mirrors"
2.wav,"there's traffic behind, keep your wits about you"
3.wav,"car approaching, watch your mirrors"
4.wav,"there's traffic behind"
5.wav,"watch your mirrors, there's a car approaching"
6.wav,"there's traffic approaching, watch your mirrors"
7.wav,"there's traffic behind, watch your mirrors"
8.wav,"take care, there's a car approaching"
9.wav,"there's traffic behind, take care"
15.wav,"there's traffic behind, watch your mirrors"
16.wav,"there's traffic behind, watch your mirrors"
17.wav,"there's traffic behind, watch your mirrors"
18.wav,"there's traffic behind, watch your mirrors"
19.wav,"there's traffic behind, watch your mirrors"
20.wav,"there's traffic behind, watch your mirrors"
