1.wav,"car left"
12.wav,"car left"
13.wav,"on your left"
14.wav,"left side"
15.wav,"left side"
16.wav,"left side"
17.wav,"left side"
18.wav,"on your left"
19.wav,"got a car on your left"
2.wav,"car on the left"
20.wav,"he's on your left"
21.wav,"you got a car on your left"
22.wav,"you got a car on your left side"
23.wav,"he's on your left"
24.wav,"left side"
27.wav,"on the left"
28.wav,"watch your left"
29.wav,"watch out, on your left"
3.wav,"left side"
4.wav,"you got a car on your left"
5.wav,"on the left"
6.wav,"left side"
7.wav,"you got a car on the left side"
8.wav,"he's on the left"
9.wav,"on the left"
