1.wav,"clear low"
10.wav,"you're clear low"
11.wav,"the low side is clear"
12.wav,"you're clear on the low side"
13.wav,"clear low"
14.wav,"clear inside"
15.wav,"you're clear on the inside"
16.wav,"your inside's clear"
17.wav,"you're clear inside"
18.wav,"clear inside"
19.wav,"your inside's clear"
2.wav,"you're clear on the low side"
20.wav,"clear on the inside"
21.wav,"you're clear inside"
22.wav,"inside's clear"
23.wav,"your inside's clear"
24.wav,"clear on the inside"
25.wav,"clear on the inside"
26.wav,"clear on the inside"
27.wav,"clear inside"
3.wav,"clear low"
4.wav,"you are clear low"
5.wav,"low side's clear"
6.wav,"the low side is clear"
7.wav,"you're clear down low"
8.wav,"clear low"
9.wav,"clear low"
