1.wav,"clear outside"
10.wav,"outside is clear"
11.wav,"you are clear outside"
12.wav,"outside is clear"
13.wav,"clear outside"
14.wav,"clear outside"
15.wav,"clear outside"
16.wav,"you are clear outside"
17.wav,"outside's clear"
18.wav,"your outside is clear"
19.wav,"clear high"
2.wav,"you're clear outside"
20.wav,"clear high"
21.wav,"you are clear high"
22.wav,"your high-side's clear"
23.wav,"you're clear on the high side"
24.wav,"your high-side's clear"
25.wav,"clear high"
26.wav,"clear high"
27.wav,"clear high"
28.wav,"you're clear on the high side"
29.wav,"you're clear up high"
3.wav,"you're clear on the outside"
30.wav,"clear high"
31.wav,"clear up high"
32.wav,"we are clear up high"
33.wav,"high side is clear"
34.wav,"clear high"
4.wav,"clear outside"
5.wav,"clear outside"
6.wav,"your outside is clear"
7.wav,"clear on the outside"
8.wav,"clear outside"
9.wav,"you're clear outside"
