1.wav,"clear on the right"
10.wav,"we are clear on the right"
11.wav,"we're clear on the right"
12.wav,"right side's clear"
13.wav,"right side is clear"
14.wav,"your right side's clear"
15.wav,"we're clear on the right side"
16.wav,"right side is clear"
17.wav,"your right side is clear"
18.wav,"your right side's clear"
19.wav,"we're clear on the right side"
2.wav,"we're clear on the right"
20.wav,"we are clear on the right"
21.wav,"clear on the right"
22.wav,"you are clear on the right"
23.wav,"you're clear right"
3.wav,"we are clear on the right"
4.wav,"right side's clear"
5.wav,"right side is clear"
6.wav,"your right side's clear"
7.wav,"we're clear on the right"
8.wav,"we're clear on the right"
9.wav,"we're clear on the right"
