1.wav,"you're in the middle, 3 wide"
10.wav,"we got 3 cars, you're the middle one"
11.wav,"3 cars wide, you're the middle"
12.wav,"3 wide, you're the middle"
13.wav,"you're the middle in 3 cars wide"
14.wav,"we got 3 cars, you're in the middle"
15.wav,"you got cars left and right, you're in the middle"
16.wav,"we got 3 cars wide, you got cars left and right"
17.wav,"3 cars wide, left and right"
18.wav,"you're in the middle, 3 cars"
2.wav,"3 wide, you're in the middle"
3.wav,"you're in the middle"
4.wav,"got 3 cars, you're in the middle"
5.wav,"3 wide, you're in the middle"
6.wav,"3 wide, cars left and right"
7.wav,"we got 3 cars, you're in the middle"
8.wav,"3 cars here, you're in the middle"
9.wav,"you're the middle one, 3 wide"
