1.wav,"3 wide, you're on the right"
10.wav,"we're 3 wide, you're on the right"
11.wav,"we're 3 wide, you're on the right side"
12.wav,"you're on the right side, going 3 wide"
13.wav,"you're on the right side, going 3 wide"
14.wav,"on the right, 3 wide"
15.wav,"3 wide, on the right"
18.wav,"3 wide, you're on the right"
2.wav,"we got 3 wide, you're on the right"
20.wav,"3 wide, you're on the right"
21.wav,"3 wide, you are on the right"
22.wav,"3 wide, you're on the right"
23.wav,"3 wide, you are on the right"
24.wav,"you're on the right, 3 wide"
26.wav,"you're on the right, 3 wide"
3.wav,"we're going 3 wide, you're on the right"
4.wav,"on the right, going 3 wide"
5.wav,"going 3 wide, you're on the right"
6.wav,"3 wide, you're right"
7.wav,"3 wide, you're on the right"
8.wav,"you got 3 wide, you're on the right"
9.wav,"we got 3 wide, you're on the right side"
