1.wav,In the middle.
2.wav,In the middle.
3.wav,In the middle!
4.wav,In the middle!
5.wav,Middle...
6.wav,Middle...
7.wav,Middle...
8.wav,You're in the middle!
9.wav,You're in the middle!
10.wav,You're in the middle.
11.wav,Middle.
12.wav,Three wide!
13.wav,Three wide; you're in the middle.
14.wav,Three wide; middle.
15.wav,Middle! Three wide!
16.wav,Middle! Middle! Middle!
17.wav,Three wide.
18.wav,Middle...
19.wav,Three wide! Easy now.
20.wav,Three wide! Careful.
21.wav,They're puttin' you three-wide!
22.wav,They're puttin' you three-wide in the middle.
