1.wav,Three wide. You're inside.
2.wav,Three wide; inside.
3.wav,Three wide! You're on the inside.
4.wav,Three wide; inside.
5.wav,Three wide; down low.
6.wav,Three wide; inside.
7.wav,Three wide! You're inside.
8.wav,Three wide! Inside.
9.wav,Three wide! Two up top.
10.wav,Three wide; two outside.
11.wav,Three wide; two outside.
12.wav,Three wide; down low.
13.wav,Three wide. You're on the bottom.
14.wav,Three wide! Two up top.
15.wav,Three wide. You're on the bottom.
16.wav,They're puttin' you three-wide down low.
