1.wav,Three wide! You're outside.
2.wav,Three wide; outside.
3.wav,Three wide! Outside.
4.wav,Three wide; outside!
5.wav,Three wide. You're outside.
6.wav,Three wide! Outside.
7.wav,Three wide! Outside.
8.wav,Three wide; up top.
9.wav,Three wide; two on the bottom.
10.wav,Three wide. Two on the bottom.
11.wav,Three wide. You're outside.
12.wav,Three wide! You're outside.
13.wav,Three wide! Up top.
14.wav,Three wide. You're on the top.
15.wav,Three wide; two below.
16.wav,Three wide! You're up top.
17.wav,They're puttin' you three-wide up top.
