1.wav,"still there"
10.wav,"he's still there"
11.wav,"still there"
12.wav,"still with you"
13.wav,"he's still there"
14.wav,"he's still with ya"
15.wav,"he's still with ya"
16.wav,"keep your line"
17.wav,"still there"
18.wav,"he's still there"
19.wav,"and still there"
2.wav,"hold your line"
20.wav,"still there"
21.wav,"he's still there"
22.wav,"he's still there"
23.wav,"he's still there"
24.wav,"still there"
25.wav,"still there"
26.wav,"he's still there"
27.wav,"still there"
3.wav,"keep your line"
4.wav,"keep this line"
5.wav,"he's still there"
6.wav,"still there"
7.wav,"he's still with you"
8.wav,"hold your line"
9.wav,"keep your line"
