1.wav,"3 wide, you're the inside"
10.wav,"2 up top"
11.wav,"2 outside"
12.wav,"2 high"
13.wav,"3 wide, 2 up top"
14.wav,"3 wide, 2 up top"
15.wav,"3 wide, 2 outside"
16.wav,"3 wide, hold the inside"
17.wav,"3 wide, you're inside"
18.wav,"3 wide, you're inside"
19.wav,"3 wide, 2 outside"
2.wav,"3 wide, you're the inside"
3.wav,"3 wide, 2 high"
4.wav,"3 wide, 2 high"
5.wav,"3 wide, 2 high"
6.wav,"you're the bottom, 3 wide"
7.wav,"3 wide, you're the bottom"
8.wav,"you're the bottom, 3 wide"
9.wav,"2 high"
